No,Municipio,Hombres,Mujeres,Total
1,Abalá,7,0,7
2,Acancéh,38,7,45
3,Akil,12,3,15
4,Baca,10,4,14
5,Bokobá,2,2,4
6,Buctzotz,10,1,11
7,Cacalchén,16,2,18
8,Calotmul,13,3,16
9,Cansahcab,8,2,10
10,Cantamayec,1,0,1
11,Celestún,27,7,34
12,Cenotillo,13,1,14
13,Conkal,60,7,67
14,Cuncunul,0,0,0
15,Cuzamá,2,5,7
16,Chancsinkín,3,1,4
17,Chankom,4,0,4
18,Chapab,2,1,3
19,Chemax,30,10,40
20,Chicxulub Pueblo,17,2,19
21,Chichimilá,4,7,11
22,Chikindzonot,3,0,3
23,Chocholá,14,3,17
24,Chumayel,5,2,7
25,Dzán,4,1,5
26,Dzemul,6,1,7
27,Dzidzantún,13,2,15
28,Dzilam de Bravo,3,1,4
29,Dzilam González,11,2,13
30,Dzitás,3,2,5
31,Dzoncauich,2,0,2
32,Espita,26,6,32
33,Halachó,31,4,35
34,Hocabá,9,3,12
35,Hoctún,13,3,16
36,Homún,18,6,24
37,Huhí,13,5,18
38,Hunucmá,69,19,88
39,Ixil,12,3,15
40,Izamal,90,16,106
41,Kanasín,340,74,414
42,Kantunil,8,4,12
43,Kaua,5,1,6
44,Kinchil,9,5,14
45,Kopomá,5,3,8
46,Mama,7,1,8
47,Maní,7,4,11
48,Maxcanú,46,21,67
49,Mayapán,2,1,3
50,Mérida,6085,865,6950
51,Mocochá,11,0,11
52,Motul,86,22,108
53,Muna,14,4,18
54,Muxupip,3,2,5
55,Opichén,8,4,12
56,Oxkutzcab,50,5,55
57,Panabá,12,7,19
58,Peto,23,8,31
59,Progreso,234,79,313
60,Quintana Roo,5,1,6
61,Río Lagartos,2,2,4
62,Sacalum,6,0,6
63,Samahil,12,3,15
64,Sanahcat,0,0,0
65,San Felipe,0,1,1
66,Santa Elena,2,0,2
67,Seyé,38,2,40
68,Sinanché,7,2,9
69,Sotuta,15,5,20
70,Sucilá,22,5,27
71,Sudzal,1,1,2
72,Suma,1,1,2
73,Tahdziú,4,6,10
74,Tahmek,12,2,14
75,Teabo,9,2,11
76,Tecoh,31,7,38
77,Tekal de Venegas,5,1,6
78,Tekantó,9,4,13
79,Tekax,40,14,54
80,Tekit,18,6,24
81,Tekom,7,0,7
82,Telchac Pueblo,9,0,9
83,Telchac Puerto,2,3,5
84,Temax,25,9,34
85,Temozón,38,8,46
86,Tepakán,3,4,7
87,Tetiz,7,1,8
88,Teya,6,1,7
89,Ticul,73,12,85
90,Timucuy,16,3,19
91,Tinum,19,8,27
92,Tixcacalcupul,4,1,5
93,Tixkokob,48,8,56
94,Tixméhuac,5,0,5
95,Tixpéhual,11,1,12
96,Tizimín,165,52,217
97,Tunkás,16,7,23
98,Tzucacab,10,2,12
99,Uayma,8,0,8
100,Ucú,10,4,14
101,Umán,214,43,257
102,Valladolid,222,28,250
103,Xocchel,9,5,14
104,Yaxcabá,9,8,17
105,Yaxkukul,6,1,7
106,Yobaín,11,3,14
TOTAL,,"8,771","1,531","10,302"
